k,time_step_after,u_var,base_cooling_demand_without_control,cooling_demand_var,Tin_var,Tin_off,Delta_Tin_var_minus_off,Tout,Tin_setpoint_cooling
0,1801,0.5118216247002567,3.0111658573150635,1.5411798013329372,23.953224739113004,24.795803461914062,-0.8425787228010577,25.440000534057617,23.33333396911621
1,1802,0.9504636963259353,2.5697762966156006,2.442479077612037,21.819948082080035,24.730668589378446,-2.910720507298411,25.15999984741211,23.33333396911621
2,1803,0.14415961271963373,2.2549474239349365,0.3250723473375962,23.486269407249537,24.757573018878993,-1.271303611629456,25.09000015258789,23.33333396911621
3,1804,0.9486494471372439,2.0704658031463623,1.9641462394713662,21.97058397058055,24.793942177957593,-2.8233582073770442,24.860000610351562,23.33333396911621
4,1805,0.31183145201048545,2.4062907695770264,0.7503571446366326,23.138209307390007,24.91228652847588,-1.774077221085875,24.690000534057617,23.33333396911621
5,1806,0.42332644897257565,2.2182929515838623,0.9390620779748902,23.044256561522484,24.668655073566285,-1.6243985120438005,24.959999084472656,23.33333396911621
6,1807,0.8277025938204418,2.8262550830841064,2.339298663066923,22.109737365921884,24.724833088989854,-2.61509572306797,25.770000457763672,23.33333396911621
7,1808,0.4091991363691613,1.257392168045044,0.5145237892413793,22.775587451581956,24.767091738502977,-1.991504286921021,27.510000228881836,24.44444465637207
8,1809,0.5495936876730595,1.4338301420211792,0.7880239952502065,23.456620636261555,25.40656722918108,-1.9499465929195239,29.299999237060547,24.44444465637207
9,1810,0.027559113243068367,2.0275614261627197,0.05587779495089559,24.829342261465936,25.995394566259087,-1.1660523047931513,30.670000076293945,24.44444465637207
10,1811,0.7535131086748066,1.64335298538208,1.2382880166652752,23.884262063829155,26.32406034351617,-2.4397982796870146,31.420000076293945,25.22222137451172
11,1812,0.5381433132192782,1.6198209524154663,0.8716958141548659,24.4811165311265,26.861956765567065,-2.3808402344405657,31.469999313354492,25.83333396911621
12,1813,0.32973171649909216,1.9709999561309814,0.6499011987547039,25.52950622411698,27.48044476974487,-1.950938545627892,31.479999542236328,25.5
13,1814,0.7884287034284043,3.6989941596984863,2.9163931693203176,24.651498135070803,27.556839769657252,-2.905341634586449,31.299999237060547,24.44444465637207
14,1815,0.303194829291645,4.181949138641357,1.2679453551967081,25.00776014648482,26.62743864739418,-1.6196785009093588,30.790000915527344,24.44444465637207
15,1816,0.4534978894806515,4.073465347290039,1.847307937868602,24.498195687352418,26.078657283031493,-1.5804615956790755,30.06999969482422,24.44444465637207
16,1817,0.13404169724716475,2.586012840270996,0.34663355021288544,25.301187810371367,25.894348992492557,-0.5931611821211895,29.030000686645508,25.33333396911621
17,1818,0.40311298644712923,1.6651567220687866,0.6712462991356609,25.392543543520866,26.51330369028777,-1.120760146766905,27.579999923706055,25.72222137451172
18,1819,0.20345524067614962,2.7283411026000977,0.5550952956761342,25.94966225209564,26.81756779695332,-0.8679055448576811,26.079999923706055,24.44444465637207
19,1820,0.2623133404418495,2.972482919692993,0.7797219240710109,25.400585315108597,26.191272283082007,-0.7906869679734108,25.280000686645508,24.44444465637207
20,1821,0.7503646726300526,3.094703197479248,2.3221559516636927,23.82202069172144,25.771068670656085,-1.9490479789346438,24.780000686645508,24.44444465637207
21,1822,0.2804087579860399,2.2605981826782227,0.6338915287102994,24.393597751580476,25.490303960255083,-1.0967062086746076,24.459999084472656,24.44444465637207
22,1823,0.48519097443163506,1.8460737466812134,0.8956983200249173,24.23845598195821,25.569782798384427,-1.3313268164262162,24.190000534057617,24.44444465637207
23,1824,0.9807371998012386,2.1495373249053955,2.1081312168959627,23.174526306593716,25.603661094665824,-2.4291347880721084,23.90999984741211,23.88888931274414
24,1825,0.9616571936637868,2.65670108795166,2.5548357126431225,22.26755576070279,25.38760940237373,-3.120053641670939,23.639999389648438,23.33333396911621
25,1826,0.7247899407735336,1.6239850521087646,1.1770480297350154,22.012809677014797,24.984663387850972,-2.971853710836175,23.40999984741211,24.0
26,1827,0.5412268555474342,0.927761971950531,0.5021296947752728,22.828215850256683,25.091152805401684,-2.262936955145001,23.219999313354492,24.44444465637207
27,1828,0.2768912040453708,0.8293542861938477,0.22964090688440353,23.69744460878253,25.218725793432743,-1.5212811846502134,23.010000228881836,24.44444465637207
28,1829,0.16065200877512686,0.6947498321533203,0.11161295613161314,24.151250161661505,25.22640976658046,-1.0751596049189551,22.790000915527344,24.44444465637207
29,1830,0.9699254132161326,1.2242050170898438,1.1873875570621293,23.62082083748907,25.03249765346378,-1.4116768159747082,23.489999771118164,24.44444465637207
30,1831,0.5160685855478787,1.7177876234054565,0.8864962290825061,23.732724816087185,25.111373450232595,-1.37864863414541,24.899999618530273,23.77777862548828
31,1832,0.11586561247077032,2.975097894668579,0.3447115397262742,24.540403092076183,25.42359788587421,-0.883194793798026,27.540000915527344,23.33333396911621
32,1833,0.6234897555375004,2.534799098968506,1.58042127055255,23.41446447632715,25.393074293124975,-1.9786098167978245,30.3700008392334,24.0
33,1834,0.776683114342298,2.3704888820648193,1.8411186874358962,23.078126622034162,26.200666551074683,-3.1225399290405207,32.0099983215332,24.44444465637207
34,1835,0.6130033010530405,2.886012077331543,1.7691349302831785,23.67452629182592,26.717178339507726,-3.0426520476818055,33.06999969482422,24.44444465637207
35,1836,0.9172977047909027,3.592377185821533,3.2952793472972943,22.238356296707245,26.913697531283198,-4.675341234575953,33.88999938964844,24.44444465637207
36,1837,0.03959287666420286,4.3227362632751465,0.17114956372373,25.184559245211183,26.853483073611855,-1.668923828400672,34.349998474121094,24.44444465637207
37,1838,0.5285892632600216,4.996385097503662,2.641035517652812,24.58834076235324,26.57184994704828,-1.9835091846950377,34.439998626708984,24.44444465637207
38,1839,0.4593358828854037,5.539609432220459,2.5445413893892947,24.627753495885727,26.072829103327095,-1.4450756074413675,34.29999923706055,24.44444465637207
39,1840,0.0623495791498756,5.938743591308594,0.37027816359711163,25.708332237279713,25.587911557706743,0.12042067957296965,33.61000061035156,24.5
40,1841,0.641328169139375,2.5103235244750977,1.6099411898991174,23.890948593755365,25.119490258833316,-1.2285416650779517,32.720001220703125,26.66666603088379
41,1842,0.8526328384806567,2.5988099575042725,2.2158307107386626,23.785705522688776,27.036231143331825,-3.2505256206430495,31.010000228881836,25.61111068725586
42,1843,0.592941018104284,4.500710487365723,2.66865585857126,24.246852806729375,27.087860268613994,-2.841007461884619,28.649999618530273,24.44444465637207
43,1844,0.2600974477372232,5.013156414031982,1.303909188397209,24.482494649926124,25.68977430284649,-1.2072796529203664,27.6200008392334,24.44444465637207
44,1845,0.8398815210314088,3.8210339546203613,3.209215809719208,21.934449988481703,25.108927426626085,-3.1744774381443825,26.8700008392334,24.44444465637207
45,1846,0.5094958815215094,2.975234031677246,1.5158694857021928,22.910342030807882,25.292637251232115,-2.3822952204242327,26.190000534057617,24.44444465637207
46,1847,0.510888884466533,2.4525346755981445,1.2529727045318264,23.38963088536814,25.51380976211831,-2.1241788767501717,25.420000076293945,24.44444465637207
47,1848,0.7530302077021779,2.683760643005371,2.020952834425265,22.99825795747146,25.61533026527196,-2.617072307800502,24.719999313354492,23.88888931274414
48,1849,0.14792203578495655,3.1332247257232666,0.4634729800007477,24.022162707087695,25.38091372159228,-1.358751014504584,24.219999313354492,23.33333396911621
49,1850,0.819626719119277,2.7928335666656494,2.2890810132923547,22.28721545810729,24.93625810887098,-2.6490426507636897,23.8700008392334,23.33333396911621
50,1851,0.6832869060032571,2.3588826656341553,1.6117936382258777,22.137353731960356,24.779057396818995,-2.641703664858639,23.579999923706055,23.33333396911621
51,1852,0.787096941554801,2.0305352210998535,1.5982280622469964,21.88003351269245,24.7548753467533,-2.874841834060849,23.309999465942383,23.33333396911621
52,1853,0.19161625902013524,2.909640312194824,0.5575343917169506,23.117402092738004,24.74240639139891,-1.6250042986609046,23.110000610351562,23.33333396911621
