episode,step,month,day_type,non_shiftable_load,soc_mean,soc_min,soc_max,soc_std,action_mean,action_std,action_min,action_max,step_count,step_net_consumption_kwh,grid_import_kwh,grid_export_kwh,solar_generation_kwh,non_shiftable_load_kwh,electricity_price,step_cost,carbon_intensity,step_carbon_kg,outdoor_temperature,indoor_temperature,indoor_temperature_setpoint,thermal_discomfort,constraint_violation,cost,cost_building_soc,cost_ev_departure,cost_ev_departure_avoidable,cost_ev_departure_unavoidable,ev_departure_departures,ev_departure_deficit_kwh,ev_impossible_request_count,battery_abuse_kwh,solar_waste_kwh,reward,citylearn_electricity_consumption_total,citylearn_carbon_emissions_total,citylearn_cost_total,citylearn_daily_peak_average,citylearn_all_time_peak_average,citylearn_ramping_average,citylearn_discomfort_proportion,citylearn_zero_net_energy
0,1,0.25,0.0669872984290123,2.2743441852046686e-10,0.26111299314788533,0.0,1.0,0.34711505368226464,0.13006213307380676,0.6664652228355408,-0.9225034713745117,0.9899904727935791,1.0,124.73827624320984,124.73827624320984,0.0,-0.0,,0.16463999450206757,20.536909114879453,0.17072440683841705,21.29586822166861,20.899999618530273,nan,0.0,0.0,1.0,0.16118255188590602,0.052631578947368474,0.10855097293853755,0.10855097293853755,0.0,1,0.10855097293853755,0.0,0.0,3.1181769371032715,-124.73827624320984,,,,,,,,
0,2,0.25,0.0669872984290123,2.2743441852046686e-10,0.26040134546380206,0.0,1.0,0.34519768611930285,-0.07809596508741379,0.6823543310165405,-0.998649537563324,0.9198799729347229,2.0,14.883124828338623,14.883124828338623,0.0,-0.0,,0.15748000144958496,2.3437945195411203,0.1573190540075302,2.3413991186702177,20.899999618530273,nan,0.0,0.0,1.0,0.1376232795966299,0.052631578947368474,0.08499170064926143,0.08499170064926143,0.0,1,0.08499170064926143,0.0,0.22547752380371122,22.724397897720337,-14.883124828338623,,,,,,,,
0,3,0.25,0.0669872984290123,2.2743441852046686e-10,0.26986808823180924,0.0,1.0,0.3432372602174878,0.28001564741134644,0.4740399718284607,-0.8943747282028198,0.9922597408294678,3.0,53.493512749671936,53.493512749671936,0.0,-0.0,,0.153329998254776,8.202160216549036,0.15450255572795868,8.264884434690456,20.899999618530273,nan,0.0,0.0,1.0,0.24285170366889552,0.052631578947368474,0.19022012472152705,0.19022012472152705,0.0,1,0.19022012472152705,0.0,0.7735803222656259,7.040513515472412,-53.493512749671936,,,,,,,,
0,4,0.25,0.0669872984290123,2.2743441852046686e-10,0.25752686851910306,0.0,1.0,0.34422321583947296,-0.0034739351831376553,0.539978563785553,-0.9403367638587952,0.8596227169036865,4.0,14.739888459444046,14.739888459444046,0.0,-0.0,,0.15015000104904175,2.213194267648282,0.15094487369060516,2.2249106017243903,20.899999618530273,nan,0.0,0.0,1.0,0.17201378872520046,0.052631578947368474,0.11938220977783198,0.11938220977783198,0.0,1,0.11938220977783198,0.0,0.865124282836915,15.84918749332428,-14.739888459444046,,,,,,,,
0,5,0.25,0.0669872984290123,2.2743441852046686e-10,0.24678282976895946,0.0,1.0,0.3478909687686867,0.0050182160921394825,0.7402585744857788,-0.9098650813102722,0.9845364689826965,5.0,28.227334856987,28.227334856987,0.0,-0.0,,0.14801999926567078,4.178210084803059,0.1518198698759079,4.2854703049314455,20.899999618530273,nan,0.0,0.0,1.0,0.2726357274306448,0.052631578947368474,0.22000414848327632,0.22000414848327632,0.0,1,0.22000414848327632,0.0,0.7118455505371102,13.855586171150208,-28.227334856987,,,,,,,,
0,6,0.25,0.0669872984290123,0.0011878237128257751,0.24732316997866796,0.0,1.0,0.34704140077686696,0.009553170762956142,0.5338062644004822,-0.9306323528289795,0.949354350566864,6.0,-7.547703504562378,0.0,7.547703504562378,-0.17404999923706055,,0.1473899930715561,0.0,0.15808822214603424,0.0,20.899999618530273,nan,0.0,0.0,1.0,0.2955336265814932,0.052631578947368474,0.2429020476341247,0.2429020476341247,0.0,1,0.2429020476341247,0.0,1.0626240539550793,19.853371918201447,7.547703504562378,,,,,,,,
0,7,0.25,0.0669872984290123,0.04192931205034256,0.2712316709187101,0.0,1.0,0.34697618066771785,-0.19413995742797852,0.5419032573699951,-0.9784733653068542,0.9910153746604919,7.0,-5.579341813921928,0.0,5.579341813921928,-1.3382500305175782,,0.15015000104904175,0.0,0.1619393676519394,0.0,20.899999618530273,nan,0.0,0.0,1.0,0.3542929582846792,0.052631578947368474,0.30166137933731074,0.30166137933731074,0.0,1,0.30166137933731074,0.0,0.3144797515869144,29.64632225036621,5.579341813921928,,,,,,,,
0,8,0.25,0.0669872984290123,0.07414048910140991,0.2532045003026724,0.0,1.0,0.34556409633562546,-0.007370913401246071,0.6367510557174683,-0.9606073498725891,0.9862873554229736,8.0,10.514280617237091,10.514280617237091,0.0,-3.31764990234375,,0.15015000104904175,1.5787192457080685,0.16434596478939056,1.7279795921062187,20.899999618530273,nan,0.0,0.0,1.0,0.383306758905712,0.052631578947368474,0.3306751799583435,0.3306751799583435,0.0,2,0.3306751799583435,0.0,0.7640168762207039,15.124594986438751,-10.514280617237091,,,,,,,,
0,9,0.25,0.0669872984290123,0.17955425381660461,0.14394136226516874,0.0,0.8363636136054993,0.24124336860469264,-0.016269763931632042,0.4981919229030609,-0.8844466805458069,0.8095443248748779,9.0,4.747387021780014,4.747387021780014,0.0,-5.436299926757813,,0.14800000190734863,0.7026132882783642,0.1909981518983841,0.9067421475063564,20.899999618530273,nan,0.0,0.0,0.0,0.51586772441864,0.0,0.51586772441864,0.51586772441864,0.0,3,0.51586772441864,0.0,0.4241556549072272,11.971540838479996,-4.747387021780014,,,,,,,,
0,10,0.25,0.0669872984290123,0.22248338162899017,0.15195233006089634,0.0,0.8363636136054993,0.24792268652011062,0.07289526611566544,0.4743204712867737,-0.7643795013427734,0.9623284935951233,10.0,-7.932712823152542,0.0,7.932712823152542,-7.28355029296875,,0.15015000104904175,0.0,0.20289885997772217,0.0,20.899999618530273,nan,0.0,0.0,0.0,0.40624386787414546,0.0,0.40624386787414546,0.40624386787414546,0.0,1,0.40624386787414546,0.0,0.8839521026611338,19.18924981355667,7.932712823152542,,,,,,,,
