episode,step,hour,soc_mean,soc_min,soc_max,soc_std,battery_abuse_kwh,battery_abuse_excess_kwh_equiv,battery_abuse_hours,action_mean,action_std,action_min,action_max,step_count,step_net_consumption_kwh,grid_import_kwh,grid_export_kwh,net_grid_kwh,solar_generation_kwh,solar_waste_kwh,non_shiftable_load_kwh,non_shiftable_load_obs_b1,electricity_price,step_cost,carbon_intensity,step_carbon_kg,step_bill,export_factor,outdoor_temperature,indoor_temperature,thermal_discomfort,month_cos,month_sin,hour_cos,hour_sin,day_type_cos,day_type_sin,ev_departure_deficit_kwh,ev_avoidable_deficit_kwh,ev_unavoidable_deficit_kwh,ev_departure_departures,ev_impossible_request_count,ev_missing_action_samples,cost_ev_departure_avoidable,cost_ev_departure_unavoidable,cost,cost_building_soc,cost_ev_departure,constraint_violation,reward,citylearn_reward,used_energy_reward,reward_bill_raw,reward_export_factor,reward_scale,citylearn_electricity_consumption_total,citylearn_carbon_emissions_total,citylearn_cost_total,citylearn_daily_peak_average,citylearn_all_time_peak_average,citylearn_ramping_average,citylearn_discomfort_proportion,citylearn_zero_net_energy,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,action_14,action_15,action_16,action_17,action_18,action_19,action_20,action_21,action_22,action_23,action_24,action_25,action_ev_0,action_ev_1,action_ev_2,action_ev_3,action_ev_4,action_ev_5,action_ev_6,action_ev_7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.191467084267877,17.191467084267877,0.0,17.191467084267877,-0.0,0.0,2.2757999897003174,0.27978116273880005,0.16463999450206757,2.8304030462363388,0.17072440683841705,2.9350030206438045,2.8304030462363388,0.7,20.0,nan,0.0,0.25,0.0669872984290123,1.0,0.5,0.8019377589225769,0.9009688496589661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.46153846153846145,0.0,1.0,1.0,118.790658354187,118.790658354187,0.0,118.790658354187,-0.0,0.0,2.2757999897003174,0.1001410111784935,0.16463999450206757,19.557693338330335,0.17072440683841705,20.280464685463627,19.557693338330335,0.7,20.0,nan,0.0,0.25,0.0669872984290123,0.9829629063606262,0.6294095516204834,0.8019377589225769,0.9009688496589661,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.557693338330335,-0.013698589591557883,1.0,19.557693338330335,0.7,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.46153846153846145,0.0,1.0,2.0,40.786776564884185,40.786776564884185,0.0,40.786776564884185,-0.0,0.0,0.8511666655540466,0.0980520248413086,0.15748000144958496,6.42310163256186,0.1573190540075302,6.416537105204083,6.42310163256186,0.7,20.100000381469727,nan,0.0,0.25,0.0669872984290123,0.9330127239227295,0.75,0.8019377589225769,0.9009688496589661,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.42310163256186,-0.24485044776593617,1.0,6.42310163256186,0.7,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.46153846153846145,0.0,1.0,3.0,20.19225897525152,20.19225897525152,0.0,20.19225897525152,-0.0,0.0,0.8345999717712402,0.0985017716884613,0.153329998254776,3.0960790334353003,0.15450255572795868,3.1197556175971717,3.0960790334353003,0.7,19.700000762939453,nan,0.0,0.25,0.0669872984290123,0.8535534143447876,0.8535534143447876,0.8019377589225769,0.9009688496589661,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0960790334353003,-2.697849885180406,1.0,3.0960790334353003,0.7,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.46153846153846145,0.0,1.0,4.0,11.874020888125898,11.874020888125898,0.0,11.874020888125898,-0.0,0.0,0.8381666541099548,0.17923666536808014,0.15015000104904175,1.7828842488084473,0.15094487369060516,1.792322583157771,1.7828842488084473,0.7,19.299999237060547,nan,0.0,0.25,0.0669872984290123,0.75,0.9330127239227295,0.8019377589225769,0.9009688496589661,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7828842488084473,-14.327777114777177,1.0,1.7828842488084473,0.7,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.46153846153846145,0.0,1.0,5.0,12.269999410571657,12.269999410571657,0.0,12.269999410571657,-0.0,0.0,1.47843337059021,0.15121397376060486,0.14801999926567078,1.8162053037425976,0.1518198698759079,1.8628297138904555,1.8162053037425976,0.7,18.899999618530273,nan,0.0,0.25,0.0669872984290123,0.6294095516204834,0.9829629063606262,0.8019377589225769,0.9009688496589661,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8162053037425976,-12.292692779482696,1.0,1.8162053037425976,0.7,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.46153846153846145,0.0,1.0,6.0,9.47408481060068,9.47408481060068,0.0,9.47408481060068,-0.0,0.0,1.2561999559402466,0.22855058312416077,0.1473899930715561,1.396385294593769,0.15808822214603424,1.497741224168609,1.396385294593769,0.7,18.299999237060547,nan,0.0,0.25,0.0669872984290123,0.5,1.0,0.8019377589225769,0.9009688496589661,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.396385294593769,-18.63211660235551,1.0,1.396385294593769,0.7,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.46153846153846145,0.0,1.0,7.0,11.481442233547568,11.481442233547568,0.0,11.481442233547568,-0.17404999923706055,0.07615205086767673,1.8695166110992432,0.09480085968971252,0.15015000104904175,1.7239385634116795,0.1619393676519394,1.859297495032964,1.7239385634116795,0.7,18.299999237060547,nan,0.0,0.25,0.0669872984290123,0.370590478181839,0.9829629063606262,0.8019377589225769,0.9009688496589661,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7239385634116795,-14.719051305652297,1.0,1.7239385634116795,0.7,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.46153846153846145,0.0,1.0,8.0,9.086199074983597,9.086199074983597,0.0,9.086199074983597,-1.3382500305175782,1.733910545706749,0.80881667137146,0.07048330456018448,0.15015000104904175,1.3642928006405892,0.16434596478939056,1.4932801532466473,1.3642928006405892,0.7,19.399999618530273,nan,0.0,0.25,0.0669872984290123,0.25,0.9330127239227295,0.8019377589225769,0.9009688496589661,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3642928006405892,-7.014589428494391,1.0,1.3642928006405892,0.7,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.46153846153846145,0.0,1.0,9.0,1.6729414509609342,1.6729414509609342,0.0,1.6729414509609342,-3.31764990234375,6.715405840426683,0.6159666776657104,0.07190398126840591,0.14800000190734863,0.24759533793310085,0.1909981518983841,0.3195287253677396,0.24759533793310085,0.7,21.100000381469727,nan,0.0,0.25,0.0669872984290123,0.1464466154575348,0.8535534143447876,0.8019377589225769,0.9009688496589661,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24759533793310085,-19.023517905106033,1.0,0.24759533793310085,0.7,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
