non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation
13.8,1.68,1.54,0.0,0.0
7.9,0.6,0.16,0.0,0.0
7.6,0.12,0.13,0.0,0.0
6.5,0.24,0.01,0.0,0.0
5.3,0.12,0.0,0.0,0.0
10.0,1.92,0.39,0.0,0.0
5.5,3.84,0.0,0.0,0.0
10.4,9.12,0.43,0.0,0.0
12.0,7.08,0.51,0.0,0.0
10.9,8.28,0.37,0.0,0.0
12.2,4.8,0.73,0.0,0.0
12.4,10.32,1.35,0.0,0.0
15.1,1.68,2.75,0.0,0.0
13.5,1.08,2.18,0.0,0.0
12.3,2.88,1.69,0.0,0.0
12.2,1.08,1.73,0.0,0.0
11.6,0.96,1.44,0.0,0.0
12.3,3.84,1.62,0.0,0.0
12.1,9.36,1.8,0.0,0.0
18.7,2.28,4.62,0.0,0.0
16.3,2.28,3.73,0.0,0.0
19.0,1.2,5.68,0.0,0.0
14.9,1.92,3.51,0.0,0.0
12.9,0.96,2.32,0.0,0.0
16.0,0.36,4.03,0.0,0.0
15.6,0.48,4.06,0.0,0.0
12.7,0.12,2.56,0.0,0.0
12.7,1.8,2.59,0.0,0.0
10.5,0.12,1.78,0.0,0.0
13.1,1.68,2.65,0.0,0.0
12.7,4.2,2.47,0.0,0.0
10.0,19.44,1.65,0.0,0.0
12.1,12.0,2.01,0.0,0.0
13.7,5.64,2.86,0.0,0.0
14.8,14.4,3.76,0.0,0.0
11.2,6.84,2.26,0.0,0.0
10.7,2.64,2.12,0.0,0.0
12.1,4.08,2.7,0.0,0.0
12.1,0.84,2.62,0.0,0.0
12.2,4.56,1.84,0.0,0.0
9.9,3.96,0.49,0.0,0.0
11.4,1.08,0.6,0.0,0.0
14.1,1.44,1.11,0.0,0.0
17.4,5.04,1.57,0.0,0.0
19.0,1.44,1.59,0.0,0.0
15.6,8.76,0.69,0.0,0.0
18.1,1.56,0.69,0.0,0.0
15.1,1.8,0.21,0.0,0.0
8.0,0.0,0.0,0.0,0.0
8.0,0.6,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0
6.6,0.12,0.0,0.0,0.0
7.2,1.2,0.0,0.0,0.0
5.3,6.0,0.0,0.0,0.0
10.0,16.44,0.0,0.0,0.0
9.6,7.8,0.0,0.0,0.0
11.3,4.32,0.0,0.0,0.0
7.3,3.36,0.0,0.0,0.0
10.8,5.28,0.0,0.0,0.0
9.4,2.4,0.0,0.0,0.0
9.5,5.64,0.0,0.0,0.0
12.5,0.84,0.04,0.0,0.0
13.3,1.08,0.26,0.0,0.0
10.1,4.68,0.0,0.0,0.0
11.6,1.2,0.0,0.0,0.0
14.5,4.68,0.01,0.0,0.0
19.6,2.16,0.52,0.0,0.0
16.9,1.56,0.17,0.0,0.0
17.3,0.72,0.2,0.0,0.0
16.9,3.6,0.18,0.0,0.0
10.7,0.96,0.0,0.0,0.0
8.4,1.2,0.0,0.0,0.0
9.8,1.2,0.0,0.0,0.0
6.8,0.24,0.0,0.0,0.0
7.2,0.12,0.0,0.0,0.0
6.7,0.48,0.0,0.0,0.0
5.9,1.8,0.0,0.0,0.0
9.7,0.6,0.0,0.0,0.0
6.7,9.48,0.0,0.0,0.0
8.3,4.08,0.0,0.0,0.0
7.5,11.52,0.0,0.0,0.0
8.1,16.32,0.0,0.0,0.0
12.4,13.8,0.01,0.0,0.0
13.4,6.24,0.53,0.0,0.0
11.0,9.6,0.62,0.0,0.0
17.4,4.32,2.59,0.0,0.0
9.6,3.84,0.91,0.0,0.0
7.6,3.36,0.29,0.0,0.0
11.5,5.52,0.93,0.0,0.0
8.5,6.12,0.48,0.0,0.0
15.5,2.4,1.92,0.0,0.0
17.3,2.16,2.54,0.0,0.0
14.2,2.64,1.84,0.0,0.0
17.0,1.68,2.87,0.0,0.0
13.1,0.96,1.38,0.0,0.0
10.7,1.32,0.71,0.0,0.0
8.6,3.0,0.56,0.0,0.0
16.7,0.84,2.72,0.0,0.0
8.7,0.36,0.69,0.0,0.0
11.5,0.12,1.28,0.0,0.0
6.8,0.48,0.39,0.0,0.0
11.3,1.8,1.27,0.0,0.0
9.3,5.76,0.86,0.0,0.0
6.1,3.24,0.18,0.0,0.0
7.9,1.92,0.65,0.0,0.0
9.4,17.76,1.3,0.0,0.0
15.0,6.6,3.77,0.0,0.0
8.8,11.52,2.42,0.0,0.0
13.9,6.96,6.33,0.0,0.0
11.8,3.0,6.96,0.0,0.0
13.4,10.56,9.12,0.0,0.0
13.1,4.68,8.09,0.0,0.0
13.3,6.72,6.31,0.0,0.0
13.1,5.88,4.82,0.0,0.0
17.4,3.24,6.71,0.0,0.0
14.3,2.88,2.46,0.0,0.0
11.6,7.44,0.84,0.0,0.0
14.8,3.12,1.03,0.0,0.0
13.1,6.48,0.42,0.0,0.0
8.4,0.24,0.0,0.0,0.0
9.6,0.24,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0
6.2,0.12,0.0,0.0,0.0
6.6,3.0,0.0,0.0,0.0
6.7,6.0,0.0,0.0,0.0
6.4,10.56,0.0,0.0,0.0
9.5,10.32,0.0,0.0,0.0
10.9,14.64,0.0,0.0,0.0
10.9,10.8,0.0,0.0,0.0
13.8,4.08,0.0,0.0,0.0
7.1,7.44,0.0,0.0,0.0
10.5,2.52,0.0,0.0,0.0
11.4,1.08,0.0,0.0,0.0
12.1,3.84,0.0,0.0,0.0
10.2,1.08,0.0,0.0,0.0
13.4,3.0,0.0,0.0,0.0
14.6,1.32,0.0,0.0,0.0
19.3,3.36,0.0,0.0,0.0
26.8,2.88,0.05,0.0,0.0
25.3,3.72,0.03,0.0,0.0
18.6,0.96,0.0,0.0,0.0
18.8,0.24,0.0,0.0,0.0
9.3,0.84,0.0,0.0,0.0
8.2,0.36,0.0,0.0,0.0
6.8,0.24,0.0,0.0,0.0
6.3,0.36,0.0,0.0,0.0
4.9,0.12,0.0,0.0,0.0
6.1,5.04,0.0,0.0,0.0
6.1,1.2,0.0,0.0,0.0
9.4,13.32,0.0,0.0,0.0
8.2,6.6,0.0,0.0,0.0
12.6,2.88,0.0,0.0,0.0
8.9,4.08,0.0,0.0,0.0
12.7,6.84,0.0,0.0,0.0
9.2,2.04,0.0,0.0,0.0
13.3,5.16,0.0,0.0,0.0
12.9,6.72,0.0,0.0,0.0
13.8,1.68,0.0,0.0,0.0
14.3,13.56,0.0,0.0,0.0
18.0,4.32,0.0,0.0,0.0
13.7,1.8,0.0,0.0,0.0
16.4,5.52,0.0,0.0,0.0
14.0,3.96,0.0,0.0,0.0
18.6,0.84,0.0,0.0,0.0
18.9,1.68,0.0,0.0,0.0
17.4,2.4,0.0,0.0,0.0
14.6,0.48,0.0,0.0,0.0
9.7,2.04,0.0,0.0,0.0
8.0,0.36,0.0,0.0,0.0
7.2,0.24,0.0,0.0,0.0
9.2,0.0,0.0,0.0,0.0
6.8,3.0,0.0,0.0,0.0
5.3,2.04,0.0,0.0,0.0
10.2,17.88,0.0,0.0,0.0
12.6,12.0,0.0,0.0,0.0
11.8,16.32,0.0,0.0,0.0
13.4,11.88,0.0,0.0,0.0
13.7,12.96,0.17,0.0,0.0
9.8,3.36,0.1,0.0,0.0
12.6,0.36,0.5,0.0,0.0
12.7,6.0,0.77,0.0,0.0
11.6,2.28,0.57,0.0,0.0
11.7,1.56,0.31,0.0,0.0
11.7,2.16,0.07,0.0,0.0
15.0,4.8,0.41,0.0,0.0
15.5,3.6,0.51,0.0,0.0
16.5,1.56,0.6,0.0,0.0
15.9,6.48,0.61,0.0,0.0
16.1,1.44,0.61,0.0,0.0
18.8,0.48,0.86,0.0,0.0
16.5,1.8,0.55,0.0,0.0
15.0,0.24,0.34,0.0,0.0
16.7,0.12,0.51,0.0,0.0
13.6,0.12,0.12,0.0,0.0
15.1,0.12,0.23,0.0,0.0
16.7,1.56,0.36,0.0,0.0
14.8,6.48,0.11,0.0,0.0
11.3,24.24,0.0,0.0,0.0
13.0,4.08,0.29,0.0,0.0
15.0,3.96,1.02,0.0,0.0
17.2,16.56,2.46,0.0,0.0
11.8,4.56,2.17,0.0,0.0
10.3,4.32,2.87,0.0,0.0
11.8,3.72,4.41,0.0,0.0
12.0,1.32,5.1,0.0,0.0
10.3,0.72,3.58,0.0,0.0
11.0,2.4,3.03,0.0,0.0
12.1,3.24,2.99,0.0,0.0
13.3,1.08,3.77,0.0,0.0
17.0,5.88,5.92,0.0,0.0
17.9,1.92,5.94,0.0,0.0
21.1,13.2,7.61,0.0,0.0
15.8,0.72,3.48,0.0,0.0
15.0,0.72,2.87,0.0,0.0
9.3,0.24,0.91,0.0,0.0
7.6,0.24,0.48,0.0,0.0
7.2,0.12,0.39,0.0,0.0
7.0,0.12,0.38,0.0,0.0
6.3,0.0,0.29,0.0,0.0
7.1,0.48,0.38,0.0,0.0
5.8,8.52,0.13,0.0,0.0
9.2,17.52,0.61,0.0,0.0
12.1,6.84,0.96,0.0,0.0
12.5,9.72,1.28,0.0,0.0
9.7,2.04,1.08,0.0,0.0
19.5,4.92,4.59,0.0,0.0
10.9,6.0,2.21,0.0,0.0
9.3,4.8,2.38,0.0,0.0
12.1,3.0,4.23,0.0,0.0
11.5,6.72,3.96,0.0,0.0
10.2,2.16,3.26,0.0,0.0
11.8,7.32,4.27,0.0,0.0
14.5,4.44,7.21,0.0,0.0
16.6,1.92,9.47,0.0,0.0
16.6,1.92,9.62,0.0,0.0
15.7,0.72,9.94,0.0,0.0
15.5,1.32,10.99,0.0,0.0
12.0,0.84,8.34,0.0,0.0
9.6,0.48,6.19,0.0,0.0
6.3,0.6,4.16,0.0,0.0
7.7,0.84,6.08,0.0,0.0
8.6,0.48,7.51,0.0,0.0
6.6,0.0,5.43,0.0,0.0
6.3,0.24,6.08,0.0,0.0
6.9,0.48,6.73,0.0,0.0
5.4,8.04,4.69,0.0,0.0
6.1,2.4,5.35,0.0,0.0
6.4,17.04,8.15,0.0,0.0
9.4,20.76,13.47,0.0,0.0
12.5,7.8,19.36,0.0,0.0
10.1,2.64,17.4,0.0,0.0
9.5,12.24,17.04,0.0,0.0
13.9,1.2,22.28,0.0,0.0
8.2,3.6,13.47,0.0,0.0
9.3,7.68,11.6,0.0,0.0
16.4,7.92,14.34,0.0,0.0
9.5,5.88,6.38,0.0,0.0
11.0,2.52,5.85,0.0,0.0
21.3,1.08,13.01,0.0,0.0
12.4,2.04,4.94,0.0,0.0
12.3,2.04,3.03,0.0,0.0
16.8,5.64,4.28,0.0,0.0
10.2,1.92,1.11,0.0,0.0
6.9,3.84,0.19,0.0,0.0
11.7,0.84,0.57,0.0,0.0
7.6,0.48,0.01,0.0,0.0
8.3,0.36,0.01,0.0,0.0
6.1,0.6,0.0,0.0,0.0
11.7,2.52,0.04,0.0,0.0
9.4,8.76,0.03,0.0,0.0
8.8,8.16,0.35,0.0,0.0
7.4,12.36,1.09,0.0,0.0
8.0,15.72,3.01,0.0,0.0
12.3,7.92,6.43,0.0,0.0
13.6,9.84,8.92,0.0,0.0
14.1,3.6,10.69,0.0,0.0
13.3,6.84,10.47,0.0,0.0
16.0,11.28,11.93,0.0,0.0
12.2,1.56,7.73,0.0,0.0
11.8,5.4,5.41,0.0,0.0
12.8,5.4,5.57,0.0,0.0
18.1,3.72,8.16,0.0,0.0
17.2,5.16,6.87,0.0,0.0
14.0,15.24,4.23,0.0,0.0
13.2,0.96,3.03,0.0,0.0
14.3,3.72,3.35,0.0,0.0
11.2,1.56,2.15,0.0,0.0
6.0,0.36,0.91,0.0,0.0
6.5,0.48,1.03,0.0,0.0
7.9,0.24,1.24,0.0,0.0
7.0,0.24,0.89,0.0,0.0
6.4,2.04,0.77,0.0,0.0
5.8,4.92,0.64,0.0,0.0
8.0,13.08,1.25,0.0,0.0
7.7,7.8,1.22,0.0,0.0
6.7,3.12,1.14,0.0,0.0
11.0,7.2,2.79,0.0,0.0
10.9,5.16,3.03,0.0,0.0
7.5,1.92,1.89,0.0,0.0
12.3,3.12,4.97,0.0,0.0
11.4,4.68,4.53,0.0,0.0
14.1,1.68,6.67,0.0,0.0
11.1,2.76,4.96,0.0,0.0
14.8,4.56,8.72,0.0,0.0
14.1,5.04,8.85,0.0,0.0
20.0,3.12,14.36,0.0,0.0
20.4,4.92,13.75,0.0,0.0
18.3,0.96,10.39,0.0,0.0
20.0,2.76,12.04,0.0,0.0
11.2,0.6,3.23,0.0,0.0
8.5,3.12,1.48,0.0,0.0
9.6,1.68,1.25,0.0,0.0
7.9,0.0,0.62,0.0,0.0
